uid,pid
1128,7483
2980,7392
4968,2203
944,8160
3473,1220
2939,7998
3311,9353
3526,7152
1372,9047
1696,9474
1197,1046
2500,7451
2080,4495
4471,7259
4400,9657
2949,8449
471,508
2416,3289
1144,966
2323,5971
1246,7691
4873,1006
52,7847
1205,3666
4609,1599
1365,6942
3223,3878
664,9558
1881,3611
1929,5598
3479,6912
672,8948
2687,3445
947,3607
3058,7747
486,7094
720,2757
4548,1940
4616,176
72,5127
1120,4051
4629,6207
1110,1737
2094,7076
481,6075
2099,5112
1095,8691
2000,8011
2011,8300
2580,1757
4250,2165
1275,3103
4915,9172
2760,4866
1497,1815
2251,6753
134,8805
2731,3675
4573,2563
4904,6168
2108,3795
359,5181
3117,9735
4107,8922
1671,4419
4556,1088
4277,7745
4439,3104
1139,8622
3378,8319
3433,465
2298,7349
1950,5515
4371,4181
545,6873
11,8199
2022,247
4059,3297
1892,4720
1211,6244
1815,7248
3977,8339
3895,7258
430,9038
3820,5781
805,3324
1300,8305
1049,9943
3739,8216
4626,1457
4134,8527
1755,9045
4444,7883
2147,4056
3857,9137
4005,911
1280,6598
1303,3738
3948,8837
1724,1629
2235,3583
4726,6111
2944,7772
3027,299
1987,7487
4371,8724
4327,9064
1788,8086
4120,1427
545,215
520,958
2046,6797
4332,8152
2568,4025
2871,7637
77,1648
2531,6350
1376,1083
3719,3749
4086,4308
2449,1222
2162,2305
2745,1081
4401,9773
2160,1587
3364,4801
308,8685
1496,8850
1257,8956
4027,1988
4101,7327
3148,7117
3424,5896
4391,5764
2741,6577
1789,3255
2826,2176
2028,8076
2800,6117
1472,287
911,6416
1069,7995
682,303
432,132
3378,5189
1313,816
4545,9831
2343,1350
3358,895
296,7774
2736,531
4011,6200
3360,5889
2237,6345
423,1713
1140,417
4993,5916
2458,9655
573,9450
3146,4869
1643,1223
4688,4960
1737,2319
2720,9648
3633,4889
4511,8366
1402,416
949,3755
561,9164
3343,8749
4667,1904
2048,9876
4490,652
2927,267
387,7890
121,5834
3576,2854
4340,3929
4750,7742
1141,2239
4885,953
1182,5287
3271,3628
1160,1812
1143,679
1680,4395
4592,1479
3489,7855
775,7124
3831,1995
1918,8970
2547,8807
677,8981
2576,829
159,4486
1224,6934
4407,4179
3819,318
789,6682
470,3014
2744,8373
1180,7208
2785,1913
2180,9588
4362,920
4222,3689
3538,919
4259,3936
4191,5706
672,4786
4046,3228
4910,1434
4649,6362
4874,9781
3173,863
1940,5350
4447,9226
4286,6982
4635,9179
3867,9032
1345,2045
2601,8715
1117,7468
3220,537
1728,8872
313,2572
3112,9267
3947,6415
1625,1076
2478,1618
862,5982
3974,9560
3953,154
2146,4347
1122,5120
755,2287
3743,3429
1043,2132
2976,2094
4620,7157
3742,4435
4278,1405
4136,2047
3388,9209
842,4724
2891,3545
3546,2315
1776,3536
1984,473
3485,506
4657,6925
2408,7933
3304,3509
1768,2584
3706,8513
4725,9417
3428,2815
3483,9211
3883,5573
138,8140
1784,2446
3342,5068
4454,7003
734,7425
1857,5483
330,9816
2909,5829
46,6230
3944,1042
1365,3548
2005,7624
4596,5945
2014,9184
1917,4153
3309,2489
4340,5691
3575,3654
2338,3297
1214,7810
2075,7488
3585,3380
254,5383
2562,2845
1873,6301
212,6686
4342,3747
3326,3415
93,2088
3424,1386
3871,5275
3970,3518
3501,8683
3244,8768
4963,1787
2549,5811
1397,7953
971,6120
60,205
3355,4665
1540,2055
4390,4127
4869,1521
609,7075
2964,6188
2439,4737
2718,7014
4677,8681
2697,5520
2057,1120
2942,9406
1688,1795
4998,808
1227,6187
856,8622
581,1180
2237,680
3404,9847
4081,251
3865,9248
1061,1047
3581,3513
501,6573
354,2237
4827,5854
1628,3578
1447,4127
882,3477
3556,8873
3245,5681
3759,7900
3396,8586
3630,6228
4232,5020
147,1251
2043,5905
2748,542
4040,5671
2849,2468
4791,4687
4105,5433
4976,2226
4728,1425
2233,894
897,3287
3261,6590
1036,7309
3883,5048
3773,9422
3720,9824
4449,5023
2794,7770
2325,3317
19,3437
1461,9584
998,4034
3781,7140
1953,2060
920,8424
3806,849
1058,7927
1880,5270
180,9204
2343,3706
3452,6203
3248,4345
4046,6451
1283,2544
1404,5263
1586,9712
1917,2691
60,4107
3052,1684
4499,3260
3232,5480
1528,3187
4908,9053
912,7294
2474,1254
1979,131
2928,5199
4146,5545
4831,7281
1490,3383
4948,4497
3785,6820
1766,947
3940,4846
1187,829
3146,6902
862,6086
9,8824
585,7421
1859,5432
3138,5141
1164,9832
454,286
4867,6
2871,5391
1147,3698
1915,655
4357,7421
3523,8148
1779,590
2436,4867
1595,1118
349,8933
3206,7715
3918,1978
2036,3545
561,5591
3750,2908
3712,8427
1064,4371
4011,4032
3633,3878
2851,9261
2312,5888
2952,4088
3261,1151
748,4393
3353,6824
698,1817
498,7768
2246,2377
991,7254
1571,1280
2901,8756
2227,2732
4308,2627
4086,6921
